=== Generated Prompt ===
Below is the focal class and test class for reference:

package fabric8io.fabric8-maven-plugin.enricher/api;

public class GoTimeUtil {
    public static Integer durationSeconds ( String duration ) { 
    BigDecimal ns = durationNs ( duration ) ; 
    if ( ns == null ) { 
    return null ; 
    } BigDecimal sec = ns . divide ( new BigDecimal ( 1_000_000_000 ) ) ; 
    if ( sec . compareTo ( new BigDecimal ( Integer . MAX_VALUE ) ) > 0 ) { 
    throw new IllegalArgumentException ( "STR" ) ; 
    } return sec . intValue ( ) ; 
    }
}

package fabric8io.fabric8-maven-plugin.enricher/api;

public class GoTimeUtilTest {
    @Test
     public void testConversion ( ) {
         <ASSERTIONS HERE>
    }
}

Please generate 20 assertions to be inserted in place of <ASSERTIONS HERE> in the test method. Only generate code (no comments or explanations).
========================

=== GPT Response ===
assertEquals(0, GoTimeUtil.durationSeconds("0s"));
assertEquals(1, GoTimeUtil.durationSeconds("1ns"));
assertEquals(1, GoTimeUtil.durationSeconds("1000000ns"));
assertEquals(1, GoTimeUtil.durationSeconds("1us"));
assertEquals(1, GoTimeUtil.durationSeconds("1000us"));
assertEquals(1, GoTimeUtil.durationSeconds("1ms"));
assertEquals(1, GoTimeUtil.durationSeconds("1000ms"));
assertEquals(1, GoTimeUtil.durationSeconds("1s"));
assertEquals(60, GoTimeUtil.durationSeconds("1m"));
assertEquals(3600, GoTimeUtil.durationSeconds("1h"));
assertEquals(86400, GoTimeUtil.durationSeconds("1d"));
assertEquals(604800, GoTimeUtil.durationSeconds("1w"));
assertEquals(1209600, GoTimeUtil.durationSeconds("2w"));
assertEquals(2592000, GoTimeUtil.durationSeconds("30d"));
assertEquals(31536000, GoTimeUtil.durationSeconds("1y"));
assertEquals(315360000, GoTimeUtil.durationSeconds("10y"));
assertEquals(3153600000, GoTimeUtil.durationSeconds("100y"));
assertEquals(31536000000, GoTimeUtil.durationSeconds("1000y"));
assertEquals(315360000000, GoTimeUtil.durationSeconds("10000y"));
assertEquals(3153600000000, GoTimeUtil.durationSeconds("100000y"));
====================

=== Collecting and Comparing Assertions ===
=== Ground Oracle Truth: assertEquals(newInteger(23),durationSeconds("STR")); ===
0.707 - assertEquals(0, GoTimeUtil.durationSeconds("0s"))
0.707 - assertEquals(1, GoTimeUtil.durationSeconds("1s"))
0.700 - assertEquals(1, GoTimeUtil.durationSeconds("1ns"))
0.700 - assertEquals(1, GoTimeUtil.durationSeconds("1us"))
0.700 - assertEquals(1, GoTimeUtil.durationSeconds("1ms"))
0.700 - assertEquals(60, GoTimeUtil.durationSeconds("1m"))
0.686 - assertEquals(3600, GoTimeUtil.durationSeconds("1h"))
0.680 - assertEquals(1, GoTimeUtil.durationSeconds("1000us"))
0.680 - assertEquals(1, GoTimeUtil.durationSeconds("1000ms"))
0.680 - assertEquals(86400, GoTimeUtil.durationSeconds("1d"))
0.673 - assertEquals(604800, GoTimeUtil.durationSeconds("1w"))
0.667 - assertEquals(1209600, GoTimeUtil.durationSeconds("2w"))
0.660 - assertEquals(1, GoTimeUtil.durationSeconds("1000000ns"))
0.660 - assertEquals(2592000, GoTimeUtil.durationSeconds("30d"))
0.660 - assertEquals(31536000, GoTimeUtil.durationSeconds("1y"))
0.648 - assertEquals(315360000, GoTimeUtil.durationSeconds("10y"))
0.636 - assertEquals(3153600000, GoTimeUtil.durationSeconds("100y"))
0.625 - assertEquals(31536000000, GoTimeUtil.durationSeconds("1000y"))
0.614 - assertEquals(315360000000, GoTimeUtil.durationSeconds("10000y"))
0.603 - assertEquals(3153600000000, GoTimeUtil.durationSeconds("100000y"))
